__v,_id,brand,devicetype
0,6045c92ba949c739d34f393a,Elan,IR Router
0,6045c92ba949c739d34f3936,Elan,Camera Switcher
0,6045c92ba949c739d34f393c,Elan,Master Controller
0,6045c92ba949c739d34f3937,Elan,DMX
0,6045c92ba949c739d34f3939,Elan,HD
0,6045c92ba949c739d34f393b,Elan,Jukebox
0,6045c92ba949c739d34f393d,Elan,Pre-Amplifier
0,6045c92ba949c739d34f393e,Elan,Satellite Radio
0,6045c92ba949c739d34f393f,Elan,Tuner
0,6045c92ba949c739d34f3940,Elan,Video Controller
0,6045c92ba949c739d34f3941,Elan,Video Switcher
0,6045c92ba949c739d34f3942,Elan,Volume Control
0,6045c92ba949c739d34f3943,Electrokinetics,Plasma Lift
0,6045c92ba949c739d34f3944,Electrocompaniet,CD Player
0,6045c92ba949c739d34f3945,Electrocompaniet,Integrated Amplifier
0,6045c92ca949c739d34f3946,Elmo,Camera
0,6045c92ca949c739d34f3947,Elmo,Video Projector
0,6045c92ca949c739d34f3949,Emerson,VCR
0,6045c92ca949c739d34f3948,Emerson,TV
0,6045c92ca949c739d34f394b,Epson,Video Projector
0,6045c92ca949c739d34f394a,Epson,Projector
0,6045c92ca949c739d34f394d,Escient,CD Management
0,6045c92ca949c739d34f394e,Escient,DVD Library
0,6045c92ca949c739d34f394f,Escient,DVD Player
0,6045c92ca949c739d34f3950,Escient,Digital Jukebox
0,6045c92ca949c739d34f3951,Escient,Digital Media Receiver
0,6045c92ca949c739d34f3952,Escient,Hard Drive Recorder
0,6045c92ca949c739d34f394c,Escient,CD Jukebox
0,6045c92ca949c739d34f3953,Escient,MP3 Player
0,6045c92ca949c739d34f3954,Escient,Media Manager
0,6045c92ca949c739d34f3955,Escient,Media Server
0,6045c92ca949c739d34f3956,Esoteric Audio,DVD Player
0,6045c92ca949c739d34f3957,Extron,Switcher
0,6045c92ca949c739d34f3958,FSC,DVD Player
0,6045c92ca949c739d34f3959,Faroudja,DVD Player
0,6045c92ca949c739d34f395a,Faroudja,Line Doubler
0,6045c92ca949c739d34f395b,Faroudja,Line Quadrupler
0,6045c92ca949c739d34f395d,Faroudja,Video Processor
0,6045c92ca949c739d34f395e,Faroudja,Video Projector
0,6045c92ca949c739d34f395c,Faroudja,Processor
0,6045c92ca949c739d34f3960,Fast,TVS
0,6045c92ca949c739d34f395f,Fast,TV
0,6045c92da949c739d34f3961,Fedders,Air Conditioner
0,6045c92da949c739d34f3963,Fisher,TV
0,6045c92da949c739d34f3962,Fisher,Surround Processor
0,6045c92da949c739d34f3965,Fosgate,Surround Processor
0,6045c92da949c739d34f3964,Fosgate,Pre-Amplifier
0,6045c92da949c739d34f3966,Foxtel,Set Top Box
0,6045c92da949c739d34f3967,Friedrich,Air Conditioner
0,6045c92da949c739d34f3968,Fujitsu,Monitor
0,6045c92da949c739d34f396a,Fujitsu,TV
0,6045c92da949c739d34f3969,Fujitsu,Plasma
0,6045c92da949c739d34f396b,Fusion Research,DVD Server
0,6045c92da949c739d34f396c,GE,TV
0,6045c92da949c739d34f396e,GE,VCR
0,6045c92da949c739d34f396d,GE,Unknown
0,6045c92da949c739d34f396f,Galaxis,Satellite
0,6045c92da949c739d34f3971,Gefen Systems,HDMI Switcher
0,6045c92da949c739d34f3970,Gefen Systems,DVI Switcher
0,6045c92da949c739d34f3972,Gefen Systems,Matrix Switcher
0,6045c92da949c739d34f3973,Gefen Systems,Unknown
